"","id","name"
"429",571521,"Rex Brothers"
"430",571561,"Tony Cingrani"
"431",571577,"Scott Copeland"
"432",571578,"Patrick Corbin"
"433",571602,"Matt Davidson"
"434",571616,"Matt Dermody"
"435",571656,"Buck Farmer"
"436",571666,"Mike Fiers"
"437",571670,"Dylan Floro"
"438",571704,"Ken Giles"
"439",571710,"Mychal Givens"
"440",571735,"David Hale"
"441",571751,"Jordan Harrison"
"442",571760,"Andrew Heaney"
"443",571771,"Enrique Hernández"
"444",571787,"David Holmberg"
"445",571798,"David Hurlbut"
"446",571800,"Drew Hutchison"
"447",571825,"James Jones"
"448",571863,"Matt Koch"
"449",571871,"Ian Krol"
"450",571882,"Derek Law"
"451",571893,"Adam Liberatore"
"452",571901,"Aaron Loup"
"453",571911,"Damien Magnifico"
"454",571927,"Steven Matz"
"455",571945,"Miles Mikolas"
"456",571946,"Shelby Miller"
"457",571948,"Hoby Milner"
"458",571951,"Bryan Mitchell"
"459",571993,"Chris Nunn"
"460",572020,"James Paxton"
"461",572021,"James Pazos"
"462",572038,"Branden Pinder"
"463",572044,"Brooks Pounders"
"464",572070,"Garrett Richards"
"465",572082,"Andrew Robinson"
"466",572140,"Tyler Skaggs"
"467",572143,"Burch Smith"
"468",572166,"John Stilson"
"469",572193,"Ryan Tepera"
"470",572283,"Madison Younginer"
"471",572308,"José Váldez"
"472",572362,"Robbie Erlin"
"473",572383,"Brian Moran"
"474",572403,"Drew VerHagen"
"475",572687,"Tristan Archer"
"476",572703,"Luke Bard"
"477",572728,"Michael Brady"
"478",572750,"Eddie Butler"
"479",572831,"Josh Edgin"
"480",572888,"Shane Greene"
"481",572934,"Austin House"
"482",572955,"Pierce Johnson"
"483",572971,"Dallas Keuchel"
"484",572998,"Josh Lucas"
"485",573016,"Kyle Martin"
"486",573046,"Mike Morin"
"487",573064,"Vidal Nuño"
"488",573109,"AJ Ramos"
"489",573124,"Taylor Rogers"
"490",573127,"Zac Rosscup"
"491",573166,"Murphy Smith"
"492",573185,"Dan Straily"
"493",573186,"Marcus Stroman"
"494",573204,"Caleb Thielbar"
"495",573244,"Adam Wilk"
"496",573667,"Todd Van Steensel"
"497",573668,"Juan Minaya"
"498",576397,"Jedd Gyorko"
"499",580792,"Nick Goody"
"500",582494,"Robby Scott"
"501",584171,"Hector Velázquez"
"502",591672,"Osmer Morales"
"503",591693,"Edubray Ramos"
"504",592094,"Jason Adam"
"505",592102,"Cody Allen"
"506",592120,"Barrett Astin"
"507",592127,"Johnny Barbato"
"508",592130,"Danny Barnes"
"509",592135,"Cam Bedrosian"
"510",592138,"Kirby Bellow"
"511",592145,"Jesse Biddle"
"512",592165,"Brandon Brennan"
"513",592169,"Austin Brice"
"514",592170,"Parker Bridwell"
"515",592222,"Alex Claudio"
"516",592229,"Dylan Covey"
"517",592233,"Stefan Crichton"
"518",592238,"Brandon Cumpton"
"519",592254,"José De León"
"520",592288,"Kent Emanuel"
"521",592295,"James Farris"
"522",592306,"Conor Fisk"
"523",592314,"Mike Foltynewicz"
"524",592329,"Jason García"
"525",592330,"Perci Garner"
"526",592332,"Kevin Gausman"
"527",592340,"Erik Goeddel"
"528",592341,"David Goforth"
"529",592351,"Jon Gray"
"530",592390,"Heath Hembree"
"531",592407,"Bryan Holaday"
